year,team_id,team_name,team_abbr,BA,OBP,SLG,R,H,HR,BB_hit,SO_hit,SB,OPS,ERA,WHIP,SO_pitch,BB_pitch,RA,SV
2024,133,Oakland Athletics,OAK,0.233,0.301,0.393,643,1267,196,493,1502,98,.694,4.37,1.33,1263,530,764,35
2024,134,Pittsburgh Pirates,PIT,0.234,0.301,0.371,665,1283,160,485,1506,106,.672,4.15,1.31,1356,515,739,43
2024,135,San Diego Padres,SD,0.263,0.324,0.42,760,1456,190,458,1077,120,.744,3.86,1.22,1453,462,669,44
2024,136,Seattle Mariners,SEA,0.224,0.311,0.376,676,1195,185,571,1625,140,.687,3.49,1.08,1416,369,607,34
2024,137,San Francisco Giants,SF,0.239,0.305,0.396,693,1303,177,492,1452,68,.701,4.1,1.3,1436,526,699,36
2024,138,St. Louis Cardinals,STL,0.248,0.312,0.392,672,1363,165,478,1318,91,.704,4.04,1.26,1308,454,719,55
2024,139,Tampa Bay Rays,TB,0.23,0.302,0.366,604,1241,147,493,1485,178,.668,3.77,1.2,1406,445,663,51
2024,140,Texas Rangers,TEX,0.238,0.305,0.38,683,1302,176,490,1284,97,.685,4.35,1.3,1371,530,738,38
2024,141,Toronto Blue Jays,TOR,0.241,0.313,0.389,671,1306,156,510,1233,72,.702,4.29,1.27,1314,503,743,36
2024,142,Minnesota Twins,MIN,0.246,0.315,0.411,742,1352,183,473,1306,65,.726,4.26,1.23,1500,433,735,43
2024,143,Philadelphia Phillies,PHI,0.257,0.325,0.425,784,1423,198,515,1370,148,.750,3.85,1.24,1433,444,671,37
2024,144,Atlanta Braves,ATL,0.243,0.309,0.415,704,1333,213,485,1461,69,.724,3.49,1.2,1553,449,607,40
2024,145,Chicago White Sox,CWS,0.221,0.278,0.34,507,1187,133,395,1403,90,.618,4.67,1.44,1366,643,813,21
2024,146,Miami Marlins,MIA,0.244,0.3,0.378,637,1347,150,403,1410,125,.678,4.73,1.38,1317,556,841,33
2024,147,New York Yankees,NYY,0.248,0.333,0.429,815,1352,237,672,1326,88,.762,3.74,1.24,1457,533,668,45
2024,158,Milwaukee Brewers,MIL,0.248,0.326,0.403,777,1359,177,597,1459,217,.729,3.65,1.23,1373,494,641,53
2024,108,Los Angeles Angels,LAA,0.229,0.301,0.369,635,1227,165,482,1416,133,.670,4.56,1.35,1252,601,797,35
2024,109,Arizona Diamondbacks,AZ,0.263,0.337,0.44,886,1452,211,569,1265,119,.777,4.62,1.35,1313,481,788,38
2024,110,Baltimore Orioles,BAL,0.25,0.315,0.435,786,1391,235,489,1359,98,.750,3.94,1.24,1380,481,699,46
2024,111,Boston Red Sox,BOS,0.252,0.319,0.423,751,1404,194,493,1570,144,.742,4.04,1.26,1353,461,747,40
2024,112,Chicago Cubs,CHC,0.242,0.317,0.393,736,1318,170,546,1362,143,.710,3.78,1.25,1348,485,669,38
2024,113,Cincinnati Reds,CIN,0.231,0.305,0.388,699,1230,174,496,1459,207,.693,4.09,1.25,1370,487,694,36
2024,114,Cleveland Guardians,CLE,0.238,0.307,0.395,708,1263,185,466,1196,148,.702,3.61,1.2,1410,492,621,53
2024,115,Colorado Rockies,COL,0.242,0.304,0.4,682,1319,179,453,1617,85,.704,5.47,1.52,1118,563,929,37
2024,116,Detroit Tigers,DET,0.234,0.3,0.385,682,1273,162,476,1461,76,.685,3.61,1.16,1354,416,642,45
2024,117,Houston Astros,HOU,0.262,0.322,0.418,740,1448,190,448,1176,93,.740,3.74,1.24,1479,544,649,43
2024,118,Kansas City Royals,KC,0.248,0.306,0.403,735,1343,170,429,1161,134,.709,3.76,1.24,1339,472,644,41
2024,119,Los Angeles Dodgers,LAD,0.258,0.335,0.446,842,1423,233,602,1336,136,.781,3.9,1.23,1390,501,686,50
2024,120,Washington Nationals,WSH,0.243,0.309,0.375,660,1306,135,456,1220,223,.684,4.3,1.33,1314,473,764,40
2024,121,New York Mets,NYM,0.246,0.319,0.415,768,1357,207,514,1382,106,.734,3.96,1.26,1455,586,697,39
