Feature,Importance
rolling_wpct_diff,0.1250129
rolling_run_diff_diff,0.057955105
home_rolling_wpct,0.05794268
away_rolling_wpct,0.048427913
home_away_split_diff,0.031704523
defensive_diff,0.024540478
run_diff_diff,0.024056114
pythag_diff,0.024000032
home_rolling_run_diff,0.02383183
home_SLG,0.02306528
BA_diff,0.022762988
home_WHIP,0.022540357
home_rolling_rs,0.02251843
WHIP_diff,0.022383502
home_OBP,0.022175696
home_defensive_strength,0.021929413
away_run_diff,0.021547591
win_pct_diff,0.021427443
SLG_diff,0.021342225
away_offensive_strength,0.021177845
home_run_diff,0.02112669
offensive_diff,0.021060606
ERA_diff,0.02092881
away_SLG,0.02091093
away_rolling_run_diff,0.020842196
away_team_away_wpct,0.020818966
away_rolling_rs,0.02059393
away_defensive_strength,0.020569202
home_team_home_wpct,0.020227835
away_WHIP,0.019850994
away_OBP,0.019750386
away_BA,0.019427793
home_BA,0.019200938
home_ERA,0.019114297
away_ERA,0.018994711
OBP_diff,0.018690214
home_offensive_strength,0.017549256
